longitude,latitude,value,LandCover
148.56546,-29.34955,70.495865,9
148.56955,-29.34897,65.817215,9
148.9631,-29.31977,66.1743,10
148.96655,-28.98,67.84425,10
150.57059,-28.95995,70.83712,10
153.44861,-28.39362,65.556946,2
153.45016,-28.39321,65.39281,2
148.82449,-28.1152,70.54964,10
148.82845,-28.11462,70.07588,10
148.81203,-28.11361,65.79485,10
148.81596,-28.11303,67.95074,10
148.81992,-28.11245,69.84851,10
148.82387,-28.11187,69.78025,10
148.82782,-28.11129,70.68176,10
148.81534,-28.1097,65.3929,10
148.81929,-28.10911,73.03671,10
148.82324,-28.10853,71.21958,10
148.81473,-28.10636,65.79601,10
149.08762,-27.36006,61.23714,10
149.08699,-27.35675,64.84345,10
149.83472,-26.96642,64.74369,10
151.40356,-24.13109,65.99295,9
150.30829,-23.41101,66.41774,10
145.33031,-16.97464,68.89535,10
145.33406,-16.9741,68.96633,10
145.32977,-16.97127,63.64917,10
144.16173,-16.94073,69.37498,10
144.15659,-16.93427,66.522514,10
144.13971,-16.93302,66.32587,10
144.14789,-16.93188,70.406685,10
143.261,-16.92225,68.9371,10
144.13782,-16.91126,66.54874,10
144.10652,-16.89773,68.58585,10
142.98834,-16.89155,63.625362,10
143.11296,-16.8824,68.190796,10
138.68784,-16.82767,69.011696,10
138.68727,-16.82278,70.97089,10
142.6774,-16.80951,71.46897,10
142.68216,-16.80889,70.73515,10
142.69646,-16.80701,69.42555,10
142.67685,-16.80573,70.023895,10
142.68163,-16.80511,68.82661,10
143.02885,-16.8046,66.847435,10
143.02376,-16.80151,64.16251,10
143.02832,-16.80089,64.287895,10
142.71494,-16.80074,67.522545,10
142.72444,-16.79949,69.85295,10
142.69539,-16.79946,70.23989,10
142.72917,-16.79887,69.79483,10
142.73392,-16.79824,71.689026,10
142.73865,-16.79762,70.81457,10
142.56573,-16.7975,65.70389,10
142.9198,-16.79653,66.88647,10
142.71915,-16.79634,74.117714,10
142.63893,-16.79528,71.490776,10
142.72865,-16.7951,65.786644,10
142.64124,-16.79496,68.24732,10
142.73338,-16.79447,69.85841,10
142.7381,-16.79385,70.645424,10
142.59468,-16.79358,68.75183,10
142.77171,-16.79327,71.985725,10
142.71861,-16.79257,70.04941,10
142.92387,-16.79218,64.07025,10
142.72336,-16.79194,69.70387,10
142.72095,-16.79176,69.63987,10
142.75703,-16.79137,69.42555,10
142.7281,-16.79132,69.2463,10
142.72566,-16.79111,69.943726,10
142.76175,-16.79075,68.2728,10
142.59413,-16.78978,66.40552,10
142.91872,-16.78907,67.488045,10
142.71809,-16.78879,70.01747,10
142.72282,-16.78817,70.16037,10
142.72041,-16.78799,67.7772,10
142.43538,-16.78782,71.11356,10
142.76122,-16.78699,71.45441,10
142.76347,-16.78592,69.02334,10
142.91818,-16.78534,70.82884,10
142.37956,-16.78351,70.58027,10
143.26942,-16.78308,64.38534,10
142.76541,-16.7826,69.77943,10
143.27386,-16.78247,67.958725,10
142.76292,-16.78216,69.943726,10
142.37901,-16.77966,71.23567,10
142.78896,-16.77952,70.73801,10
137.67282,-16.77949,63.962566,10
142.76015,-16.77946,70.97781,10
142.38397,-16.77901,71.336006,10
142.76486,-16.77884,69.456436,10
142.3889,-16.77836,71.23567,10
142.79114,-16.77829,64.651566,10
142.76711,-16.77776,78.792206,10
137.68919,-16.77771,78.65865,10
142.2466,-16.77741,69.686615,10
137.69566,-16.777,70.06715,10
142.78842,-16.77576,69.18829,10
144.91241,-16.77551,63.810215,10
142.23094,-16.7755,71.37934,10
142.78592,-16.77518,71.54378,10
142.38342,-16.77517,69.00932,10
142.38835,-16.77451,74.32223,10
142.3933,-16.77386,69.20744,10
142.27672,-16.77348,67.01528,10
142.61124,-16.77199,70.98608,10
142.78539,-16.77142,70.08342,10
142.23544,-16.77097,70.87138,10
142.41792,-16.7706,68.22956,10
142.24553,-16.76966,71.510925,10
142.22482,-16.7684,70.51899,10
142.22986,-16.76774,70.99089,10
142.41248,-16.76741,72.84227,10
142.23491,-16.76709,69.0775,10
144.92653,-16.76649,69.39745,10
142.23994,-16.76643,69.8804,10
144.93039,-16.76594,68.75228,10
142.24498,-16.76578,79.22275,10
